Frequency,d7glc_P,Frequency,d7glc_L,Frequency,d5gln,Frequency,d3pyr
2300.485193,0.117574826,2300.485193,0.084794973,2300.485193,0.021697188,2300.485193,0.411931473
2293.301006,0.229226205,2293.301006,0.099714422,2293.301006,0.010173068,2293.301006,0.369773204
2286.125424,0.230138565,2286.125424,0.109560604,2286.125424,0.011209849,2286.125424,0.336904269
2278.958429,0.218963297,2278.958429,0.108236584,2278.958429,0.073834937,2278.958429,0.371223604
2271.800007,0.152995349,2271.800007,0.106865223,2271.800007,0.251136993,2271.800007,0.599760782
2264.650143,0.290185234,2264.650143,0.133948268,2264.650143,0.379941,2264.650143,0.679499059
2257.508822,0.398479573,2257.508822,0.171282493,2257.508822,0.395418839,2257.508822,0.830938431
2250.376027,0.400177801,2250.376027,0.183810591,2250.376027,0.474383521,2250.376027,0.858126274
2243.251744,0.420601119,2243.251744,0.211069783,2243.251744,0.505274145,2243.251744,0.843401056
2236.135957,0.448813902,2236.135957,0.229928638,2236.135957,0.592576231,2236.135957,0.86067519
2229.028652,0.585784179,2229.028652,0.276827484,2229.028652,0.573617265,2229.028652,0.81517336
2221.929812,0.690288234,2221.929812,0.321734336,2221.929812,0.455866481,2221.929812,0.78070182
2214.839424,0.896976631,2214.839424,0.389164591,2214.839424,0.357390537,2214.839424,0.739682292
2207.757472,0.880600821,2207.757472,0.419878398,2207.757472,0.369686835,2207.757472,0.798306439
2200.68394,0.904676241,2200.68394,0.479877704,2200.68394,0.544954452,2200.68394,0.834158442
2193.618815,0.995714326,2193.618815,0.573334707,2193.618815,0.656345349,2193.618815,0.907572699
2186.56208,0.918911822,2186.56208,0.680967998,2186.56208,0.5592175,2186.56208,0.936372316
2179.513721,0.785298824,2179.513721,0.786476465,2179.513721,0.663273484,2179.513721,0.867663036
2172.473723,0.782925374,2172.473723,0.824839557,2172.473723,0.840653842,2172.473723,0.84003819
2165.442072,0.681673233,2165.442072,0.908692663,2165.442072,0.975382114,2165.442072,0.956054891
2158.418752,0.637594293,2158.418752,0.960942513,2158.418752,0.991668856,2158.418752,1
2151.403748,0.649981957,2151.403748,0.995399967,2151.403748,0.912188275,2151.403748,0.988487137
2144.397046,0.594044286,2144.397046,0.966010814,2144.397046,0.778228088,2144.397046,0.853848188
2137.398631,0.62178426,2137.398631,0.890685461,2137.398631,0.758753954,2137.398631,0.776990442
2130.408489,0.627604833,2130.408489,0.696783918,2130.408489,0.721183502,2130.408489,0.7906432
2123.426604,0.669506169,2123.426604,0.513735946,2123.426604,0.661966682,2123.426604,0.586010309
2116.452962,0.465405432,2116.452962,0.409642277,2116.452962,0.46582566,2116.452962,0.492719844
2109.487549,0.373095656,2109.487549,0.350985126,2109.487549,0.296212362,2109.487549,0.402542219
2102.53035,0.267452471,2102.53035,0.266362713,2102.53035,0.239861227,2102.53035,0.354788249
2095.58135,0.185216411,2095.58135,0.19249912,2095.58135,0.168250374,2095.58135,0.352717278
2088.640535,0.068703859,2088.640535,0.132857068,2088.640535,0.141641217,2088.640535,0.266756624
2081.70789,0.150683394,2081.70789,0.095235934,2081.70789,0.059004019,2081.70789,0.334639605
2074.783402,0.073159225,2074.783402,0.078554909,2074.783402,0.001042317,2074.783402,0.207634756
2067.867055,0.114930995,2067.867055,0.068864665,2067.867055,-0.004963936,2067.867055,0.19958525
2060.958835,0.027834429,2060.958835,0.051600017,2060.958835,0.019484042,2060.958835,0.203797905
2054.058729,0.061508017,2054.058729,0.039130089,2054.058729,0.059842261,2054.058729,0.138121199
2047.166721,0.110394691,2047.166721,0.030879127,2047.166721,0.022659874,2047.166721,0.173893389
2040.282798,0.08710221,2040.282798,0.01889221,2040.282798,-0.017399165,2040.282798,0.113168251
2033.406945,0.080470752,2033.406945,0.016815756,2033.406945,-0.012867317,2033.406945,0.131492558
2026.539148,0.024503103,2026.539148,0.005005407,2026.539148,-0.01891143,2026.539148,0.138914362
2019.679393,0.013691231,2019.679393,0.00674693,2019.679393,0,2019.679393,0.092492579
2012.827666,0.017840671,2012.827666,0.002428276,2012.827666,0,2012.827666,0.103941736
2005.983952,0,2005.983952,0,2005.983952,0,2005.983952,0
